text.,sentiment
Saya sedang mempersiapkan presentasi untuk konferensi.,positive
Belajar untuk ujian besok adalah prioritas saya sekarang.,positive
Materi kuliah terbaru tentang teknologi sangat menarik.,positive
Rencanaku adalah memulai program latihan fisik.,negative
Rencana akhir pekan ini adalah pergi hiking bersama teman.,positive
Saya merencanakan perjalanan ke luar negeri tahun depan.,negative
Akhir pekan ini saya akan membersihkan rumah.,positive
Tadi saya menelepon keluarga untuk sekadar berbicara.,negative
Rencanaku adalah mendaftar ke gym bulan depan.,positive
Besok saya akan melakukan presentasi produk di kantor.,positive
Saya sedang menulis artikel untuk jurnal ilmiah.,negative
Saya akan menemui dosen pembimbing untuk diskusi proyek.,positive
Hari ini ada workshop tentang penelitian kuantitatif.,negative
Saya akan melakukan riset lapangan untuk tesis.,positive
Hari ini saya akan mengikuti pelatihan keterampilan komunikasi.,positive
Rencanaku adalah melakukan latihan meditasi sebelum tidur.,negative
Saya ingin menghadiri kelas yoga untuk kesehatan tubuh.,positive
Besok saya akan berkunjung ke rumah sakit untuk kunjungan rutin.,negative
Rencanaku adalah menonton konser musik di akhir pekan ini.,negative
Saya akan membuat jadwal belajar yang lebih teratur.,positive
Rencanaku adalah membaca buku tentang kepemimpinan.,positive
Hari ini saya akan mengunjungi pameran barang antik.,negative
Saya ingin mengikuti kursus fotografi untuk hobi baru.,negative
Rencanaku adalah memperdalam pemahaman tentang ekonomi.,positive
Besok saya akan mengunjungi pameran seni rupa di galeri.,negative
Rencanaku adalah mencoba berbagai olahraga baru.,negative
Hari ini saya akan belajar tentang keberlanjutan lingkungan.,positive
Rencanaku adalah bergabung dengan kelompok debat di kampus.,positive
Saya akan menghadiri seminar motivasi untuk meningkatkan diri.,positive
Besok saya akan belajar tentang teknologi blockchain.,positive
Rencanaku adalah mengikuti kursus bahasa Mandarin.,positive
Saya akan bergabung dengan kelompok penggemar film di kota.,negative
Hari ini saya akan membaca tentang sejarah politik global.,positive
Rencanaku adalah menghadiri konferensi kewirausahaan.,positive
Besok saya akan belajar teknik memasak kue baru.,negative
Saya akan bergabung dengan komunitas suporter sepak bola lokal.,negative
Rencanaku adalah mempelajari strategi investasi di pasar saham.,positive
Hari ini saya akan berdiskusi tentang budaya populer dengan teman.,negative
Rencanaku adalah mengikuti kursus keterampilan menulis.,positive
